car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12005,7373,Mercedes-Benz,Mercedes-Benz GLC-Class Coupe,GLC300 4MATIC (A),315888,27900,126355,2695,70200,1202,56484,73671,12.5,Petrol,True
12005,7843,Mercedes-Benz,Mercedes-Benz GLC-Class Coupe,GLC43 AMG 4MATIC (A),402888,-,161155,3438,70200,2380,-,-,9.9,Petrol,True
12005,7845,Mercedes-Benz,Mercedes-Benz GLC-Class Coupe,GLC63 S AMG 4MATIC+ (A),540888,-,216355,4615,70200,3920,-,-,8.3,Petrol,True
12007,7435,Perodua,Perodua Bezza,1.3 Premium X (A),75999,7300,22800,757,47001,584,11040,5000,21,Petrol,True
12016,5544,Volkswagen,Volkswagen Tiguan,1.4 TSI DSG Highline (A),168400,15200,67360,1437,70200,622,29673,33542,16.1,Petrol,True
12016,8461,Volkswagen,Volkswagen Tiguan,2.0 TSI DSG Elegance (A),179900,-,71960,1535,70200,1194,-,-,14.5,Petrol,True
12016,7425,Volkswagen,Volkswagen Tiguan,1.4 TSI DSG R-Line (A),181400,16200,72560,1548,70200,622,33731,39223,16.1,Petrol,True
12016,8462,Volkswagen,Volkswagen Tiguan,2.0 TSI DSG R-Line (A),193900,-,77560,1655,70200,1194,-,-,14.5,Petrol,True
12023,7252,Kia,Kia Niro Hybrid,1.6 EX (A),110999,10500,44400,947,47001,732,25126,12176,25,Petrol-Electric,True
12023,7251,Kia,Kia Niro Hybrid,1.6 SX (A),125999,11700,50400,1075,47001,732,29308,18031,25,Petrol-Electric,True
12030,5575,Maserati,Maserati Levante,3.0 V6 (A),350800,-,-,-,70200,2360,67670,93806,8.6,Petrol,False
12030,6787,Maserati,Maserati Levante,3.0 V6 GranSport (A),387800,-,-,-,70200,2360,80591,117064,8.6,Petrol,False
12032,8181,Audi,Audi Q2,1.5 TFSI S tronic (A),173949,16000,69580,1484,70200,684,24932,26905,19.6,Petrol,True
12043,7344,Maxus,Maxus G10 Petrol,2.0 Panel Van (A),84988,-,8499,1088,38890,-,-,-,9.2,Petrol,True
12052,7689,Mazda,Mazda MX-5 RF,2.0 (A),199888,-,79955,1706,70200,1210,-,-,14.9,Petrol,True
12065,5701,Renault,Renault Grand Scenic Diesel,1.5T dCi (A),129999,12400,52000,1109,47001,1148,25514,12720,25,Diesel (Euro VI),True
12069,8087,Volkswagen,Volkswagen Caddy Diesel,2.0 TDI DSG 6-Door Panel Van [Euro VI] (A),76000,-,7600,973,38890,-,-,-,20,Diesel (Euro VI),True
12070,8082,Volkswagen,Volkswagen Transporter Diesel,T30 Panel Van [Euro VI] (A),90000,-,9000,1152,38890,-,-,-,15.6,Diesel (Euro VI),True
12070,8083,Volkswagen,Volkswagen Transporter Diesel,T30 Panel Van LED [Euro VI] (A),92000,-,9200,1178,38890,-,-,-,15.6,Diesel (Euro VI),True
12073,7900,Honda,Honda CR-V,1.5 Turbo 5-Seater (A),163299,-,65320,1393,70200,684,-,-,14.3,Petrol,True
12073,7899,Honda,Honda CR-V,1.5 Turbo 7-Seater (A),188099,16900,75240,1605,70200,684,33368,38715,13.7,Petrol,True
12074,5899,Lexus,Lexus LC 500,5.0 V8 (A),567800,-,227120,4845,70200,5464,-,-,8.6,Petrol,True
12076,7908,MINI,MINI Cooper Countryman,1.5 (A),195888,-,78355,1671,70200,684,-,-,17.9,Petrol,True
12077,7907,MINI,MINI Cooper S Countryman,2.0 (A),211888,18700,84755,1808,70200,1210,41805,50527,15.2,Petrol,True
12077,8439,MINI,MINI Cooper S Countryman,2.0 John Cooper Works Trim (A),213888,-,85555,1825,70200,1210,-,-,15.2,Petrol,True
12086,5752,McLaren,McLaren 720S Coupe,4.0 V8 (A),1043000,-,-,-,70200,3940,241603,406885,8.2,Petrol,False
12090,7447,MINI,MINI John Cooper Works Clubman,2.0 (A),251888,-,100755,2149,70200,1210,-,-,13,Petrol,True
12094,8056,Audi,Audi R8 Spyder,5.2 FSI RWD S tronic (A),735822,-,294329,6279,70200,5832,-,-,7.6,Petrol,True
12112,8005,Subaru,Subaru XV,2.0i-S EyeSight (A),116800,10900,35040,1163,70200,1206,15195,15195,14.3,Petrol,True
12112,8352,Subaru,Subaru XV,2.0i-S EyeSight GT Edition (A),118688,-,-,-,70200,1206,-,-,14.3,Petrol,True
12126,5849,Ferrari,Ferrari 812 Superfast,6.5 V12 (A),1420000,-,-,-,70200,7852,404000,699200,6.8,Petrol,False
12128,7953,Mazda,Mazda CX-5,2.0 Elegance (A),144888,13300,57955,1236,70200,1210,22201,23081,14.3,Petrol,True
12128,7954,Mazda,Mazda CX-5,2.0 Luxury (A),154888,14000,61955,1322,70200,1210,26325,28855,14.3,Petrol,True
12135,7834,SEAT,SEAT Ateca,1.4 TSI Xcellence 8-Speed (A),145999,13000,58400,1246,70200,622,27864,31010,16.1,Petrol,True
12135,8187,SEAT,SEAT Ateca,1.4 TSI Style 8-Speed (A),158999,-,63600,1357,70200,312,-,-,16.1,Petrol,True
12135,8188,SEAT,SEAT Ateca,1.4 TSI Xperience 8-Speed (A),166999,-,66800,1425,70200,312,-,-,16.1,Petrol,True
12156,7723,Audi,Audi S5 Sportback,3.0 TFSI qu Tip (A),367518,-,147007,3136,70200,2380,-,-,11.4,Petrol,True
12173,8070,BMW,BMW 5 Series Plug-in Hybrid,530e (A),312888,27600,125155,2670,70200,1210,56583,73849,52.6,Petrol,True
12177,8317,Opel,Opel Crossland,1.2 Turbo GS Line (A),106500,10400,31950,1060,47001,508,19418,5000,19.6,Petrol,True
12179,7469,Land Rover,Land Rover Range Rover Velar,2.0 Si4 R-Dynamic S Style Pack (A),338999,29500,135600,2893,70200,1208,64218,87592,13.2,Petrol,True
12179,6868,Land Rover,Land Rover Range Rover Velar,2.0 Si4 R-Dynamic HSE (A),365999,31400,146400,3123,70200,1208,73172,103710,13.2,Petrol,True
12180,7810,Volvo,Volvo XC40,T4 R-Design (A),194000,17800,77600,1655,70200,1176,28456,31838,12.7,Petrol,True
12180,6150,Volvo,Volvo XC40,T5 R-Design (A),210000,19300,84000,1792,70200,1176,30643,34900,13,Petrol,True
